"filename", "language", "Python", "Markdown", "JavaScript", "pip requirements", "SCSS", "JSON", "CSS", "XML", "HTML", "JSON with Comments", "Ignore", "Properties", "comment", "blank", "total"
"c:\Ujango\frontend\src\features\Auth\components\Login\Humaanss.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Ujango\frontend\src\features\Auth\components\Login\Login.css", "CSS", 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 28, 221
"c:\Ujango\frontend\src\features\Auth\components\Login\Login.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Ujango\frontend\src\features\Auth\components\Login\LoginPopup.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Ujango\frontend\src\features\Auth\components\Login\LoginPopup.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 135
"c:\Ujango\frontend\src\features\Auth\components\Login\ResetPassword.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Auth\components\Login\ResetPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Auth\components\Login\Routers.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Ujango\frontend\src\features\Auth\components\Login\firebase.js", "JavaScript", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 173
"c:\Ujango\frontend\src\features\Auth\components\Login\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Ujango\frontend\src\features\Auth\components\Logout\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Auth\components\Signup\AddTask.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 51
"c:\Ujango\frontend\src\features\Auth\components\Signup\Signup.css", "CSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Ujango\frontend\src\features\Auth\components\Signup\Signup.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Ujango\frontend\src\features\Auth\components\Signup\SignupForm.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 115
"c:\Ujango\frontend\src\features\Auth\components\Signup\TextField.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Ujango\frontend\src\features\Auth\components\Signup\firebase.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Ujango\frontend\src\features\Auth\components\Signup\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
